trial_id,block,type,situation,option_low,option_high,advice_low,advice_high
11,AI_low,emotion,你在与他人相处时，不太确定应该保持怎样的距离。有时担心过于接近会带来压力，有时又觉得关系不够亲近。,保持一定关系距离,主动拉近关系距离,建议你保持一定的社交距离，避免贸然拉近距离给对方带来压力与不适感,建议你适当主动靠近，让对方感知到你释放的亲近信号，拉近双方的关系
12,AI_low,emotion,你本来计划好了这周末在家里休息一天，但是朋友临时喊你出去聚会。你不知道该怎么拒绝朋友的邀请。,间接委婉拒绝,直接明确拒绝,建议你间接地用委婉的理由拒绝，避免直接拒绝对方带来的尴尬和对双方关系的可能影响,建议你直接表达真实的想法，明确拒绝，以提高真诚感、减少反复权衡带来的心理负担
13,AI_low,tool,你在学习一门新内容时理解较慢，尝试过做笔记等不同方法，但效果一般。你开始感到有些困扰，但目前还没有找到更合适的学习方式。,反复练习巩固,梳理知识结构,建议你不断进行练习巩固，加深对知识内容的理解和记忆,建议你先梳理整体知识结构，帮助建立清晰的知识框架
14,AI_low,tool,你近期需要购买一套日常穿着的服装，但是在风格选择、舒适度和价格预算之间难以权衡，你不清楚如何做出更合适的选择。,优先考虑舒适度,优先考虑风格搭配,建议你优先考虑舒适度，舒适才能满足日常穿着的基本需求,建议你优先考虑风格搭配，风格搭配才能提升整体穿搭的协调性
15,AI_low,tool,你需要完成一次口头汇报，但不确定应如何组织内容结构。虽然准备了一些材料，但整体表达思路不清晰。,先完善具体内容,先搭建整体结构,建议你先完善具体内容，确保汇报材料的充实度,建议你先搭建整体结构，提高汇报逻辑的清晰度
16,AI_low,tool,你意外被热水轻微烫到了，皮肤出现不适但不严重。你查了一些处理方法，但不知道哪种方法更合适。,以保护皮肤为主,以促进恢复为主,建议你进行保守处理，保护皮肤，避免盲目冲冷水和乱用药进一步刺激受损皮肤,建议你进行积极处理，冲冷水后涂抹烫伤膏，加快皮肤状态的恢复进程
17,human_high,emotion,最近，你身边的朋友开始刻意疏远你，对你的态度也不如以往自然。你不知道为什么，但内心开始有些不安。,保持距离减少接触,主动沟通了解情况,建议你和朋友保持一定距离，给彼此冷静空间，避免在不知情的情况下进一步疏远,建议你主动和朋友沟通，通过积极沟通来发现疏离你的真正原因，尽可能缓和关系
18,human_high,emotion,你在与他人比较时，逐渐对自己的能力产生怀疑。虽然没有明确的负面评价，但你内心仍然反复思考自己是不是没有能力。,减少反思坚信自己,主动分析自身情况,建议你减少反复思考，坚信自己有能力，减少自我怀疑和他人比较,建议你进行客观分析，更清晰、全面地评估自己的能力，寻求提高自身能力的方法
19,human_high,emotion,你在面对一些日常事情时，发现自己的情绪反应比预期更强烈。虽然事情本身不严重，但你却格外焦虑、担忧。,尽量忽略情绪反应,主动觉察情绪变化,建议你不要过度关注情绪，尽可能忽视它或转移自己的注意力，以免放大当前的消极情绪体验,建议你主动觉察情绪的变化，帮助理解自己的情绪产生原因，并不断调节自身的负面反应
20,human_high,emotion,你在与他人出现分歧时，通常选择回避这一话题，不继续讨论，以避免冲突。但事后往往会反复思考自己的回避行为，感到矛盾。,保持回避状态,主动表达分歧,建议你继续保持回避冲突的模式，维持当前你与他人关系的稳定状态,建议你适当表达自己的不同看法，减少内在反复思考的心理负担
21,human_high,tool,你需要在短时间内完成多项同时到来的任务。你已经列出了计划，但执行过程中效率不高，不确定接下来应该如何重新安排时间。,按紧迫程度安排,按投入成本安排,建议你按照紧迫程度安排，优先处理更紧急的任务,建议你按照时间精力分配，考虑投入成本高低，提高完成效率
22,human_high,tool,你即将参加一场面试，但不确定应如何系统准备面试相关内容。你已经了解了一些基本信息，但仍然不清楚重点应该放在哪里。,系统整理面试知识,进行模拟面试练习,建议你系统整理面试知识和简历要点，全面掌握可能考察的知识点,建议你开展模拟面试，减少面试紧张表现，提升实际表达与灵活应对能力
23,human_high,tool,你在整理期末学习资料时发现内容较为零散，难以形成系统结构。虽然尝试分类整理，但整体逻辑仍不清晰。,用文字整理内容,用图示梳理结构,建议你用清晰的文字条目整理内容，巩固和记忆每一条知识点,建议你用图示梳理结构，直观呈现各个部分之间的关系
24,human_high,tool,最近你发现自己的体重有所增加，为了健康着想，你决定去减肥。但是你不清楚具体该通过什么方式减肥。,控制饮食,增加运动,建议你控制饮食，少吃高油高糖食品，减少每天的热量摄入以达到减肥效果,建议你定期运动，形成每天锻炼身体的习惯，提升热量消耗以促进体重下降
25,human_low,emotion,你在需要参与集体讨论时容易感到紧张焦虑，担心自己的表现不够好。即使提前准备，也很难放松下来。,减少发言降低参与,主动表达参与讨论,建议你减少讨论中的发言次数，避免加重当前的紧张焦虑感,建议你尝试主动表达自己，逐步在实践中适应这种讨论压力
26,human_low,emotion,你在一段亲密关系中投入较多时间和精力，但对方的回应相对较少。你逐渐意识到这种不平衡，但又难以判断该如何看待这种情况。,减少情感投入,主动沟通感受,建议你适当减少对这段关系的投入，避免持续处于不平衡状态,建议你主动和对方沟通感受，更清晰地理解彼此对亲密关系的看法
27,human_low,emotion,你在一个群体中相处时，常常感觉自己不太容易融入整体氛围。虽然没有被明确排斥，但你仍然会感到有些不自在。,退出该群体,主动融入该群体,建议你保持距离，逐渐淡出该群体，以减少该群体给你带来的被排斥的不适感,建议你主动融入该群体，多参与群体活动和交流，提高在群体中的融入感
28,human_low,emotion,你在课堂展示时遇到一点问题，被当众指责和批评了。你感到非常难堪和伤心，情绪久久不能平复。,压抑情绪自行消化,表达情绪适当释放,建议你先自行消化情绪，独自思考，避免消极情绪影响后续的课程,建议你直接表达自己的情绪，和老师沟通负面体验，缓解自身的难受
29,human_low,tool,你最近在完成期末论文，需要查找大量参考资料。但是你不知道该如何从这些资料中高效筛选出自己需要的信息。,即时筛选,延后筛选,建议你逐篇判断资料内容，快速阅读摘要后立即决定该资料是否保留,建议你先进行标记，根据标题标记该资料，后续统一整理时再做取舍
30,human_low,tool,你在复习课程内容时发现记忆效果不稳定，虽然反复阅读和整理笔记，但遗忘较快。你尝试过不同方法但效果差异不明显，目前不清楚如何提高记忆效率。,采用反复复习巩固,采用间隔复习方法,建议你反复复习巩固，当天知识立即重复记忆多遍，以强化对内容的高效快速记忆,建议你采用间隔复习方法，每隔一段时间复习一遍知识，提高记忆的保持时长
31,human_low,tool,最近你计划进行一次云南旅行，但是你不知道如何合理规划行程。你查阅了一些攻略，但不同方案差异较大，你不清楚如何制定更合适的计划。,按地点顺序安排,按兴趣组合安排,建议你按照地点顺序安排行程，保证整体旅游路线更连贯、更紧凑、更省时,建议你按照兴趣进行组合，优先前往最感兴趣的景点，保证旅游不留遗憾
32,human_low,tool,你在学习理论内容后，发现难以将其应用到具体问题中。虽然理解了基本概念，但运用时仍存在很多困难。,先套用已有理论,先分析具体情境,建议你先套用已有理论，根据已有的概念框架来理解具体的问题,建议你先分析具体情境，根据实际情境再选择合适的理论
